id,Date,vader,watson,count,brent
392,2019-01-27,0.08765425199999999,-0.148557462,13,60.303333333333335
393,2019-01-28,0.002740023,-0.38187594700000005,57,59.71
394,2019-01-29,-0.006868295999999999,-0.37433114799999995,61,60.98
395,2019-01-30,-0.002178787,-0.24069215,40,61.89
396,2019-01-31,0.04238327099999999,-0.09608514300000001,63,62.46
397,2019-02-01,0.102460044,0.040300562000000005,32,61.86
398,2019-02-02,0.053003095,-0.49375125,4,61.99333333333333
399,2019-02-03,0.06734625799999999,-0.163799909,11,62.126666666666665
400,2019-02-04,-0.004083753,-0.328831925,40,62.26
401,2019-02-05,0.072963988,-0.12827922,50,61.67
402,2019-02-06,0.028227167,-0.253989614,44,62.22
403,2019-02-07,0.014146355,-0.40773162799999996,43,61.01
404,2019-02-08,0.023891218999999998,-0.369407263,38,61.37
405,2019-02-09,-0.071556483,-0.337595,8,61.346666666666664
406,2019-02-10,-0.035187157999999996,-0.212483583,12,61.32333333333333
407,2019-02-11,0.021120134,-0.34409336700000004,49,61.3
408,2019-02-12,0.05067406,-0.09006408199999999,49,62.58
409,2019-02-13,0.062862877,-0.057691890999999995,55,63.27
410,2019-02-14,0.007239919,-0.256990558,52,64.0
411,2019-02-15,-0.004753913,-0.23941046300000002,41,65.65
412,2019-02-16,-0.064401643,-0.14742220000000003,5,65.90333333333334
413,2019-02-17,0.041553922,-0.145389813,16,66.15666666666667
414,2019-02-18,0.062789788,-0.11845326099999999,23,66.41
415,2019-02-19,0.074366615,-0.142518229,35,65.86
416,2019-02-20,0.09714725699999999,-0.062423348,46,66.82
417,2019-02-21,0.02076693,-0.16486199999999998,40,66.91
418,2019-02-22,0.063631017,-0.049798944000000005,36,66.91
419,2019-02-23,-0.054143009000000006,-0.455610667,6,65.94666666666666
420,2019-02-24,0.123533793,0.1231,8,64.98333333333333
421,2019-02-25,0.044227918,-0.273654325,40,64.02
422,2019-02-26,0.057839362000000005,-0.25979925,44,64.51
423,2019-02-27,0.01068317,-0.23663645,60,65.55
424,2019-02-28,-0.027718762,-0.210979024,42,65.03
425,2019-03-01,0.027082416,-0.20421348600000003,37,63.71
426,2019-03-02,-0.135147971,-0.5837593329999999,6,63.95333333333333
427,2019-03-03,0.13723618699999998,-0.01008125,8,64.19666666666666
428,2019-03-04,0.056732622,-0.249146258,31,64.44
429,2019-03-05,0.052767764,-0.090047351,37,64.24
430,2019-03-06,0.058776352999999996,-0.176713625,40,64.51
431,2019-03-07,0.016804361,-0.29073417100000004,35,64.82
432,2019-03-08,-0.011303836999999999,-0.359665048,42,65.66
433,2019-03-09,-0.079788413,-0.355346,6,65.46
434,2019-03-10,-0.001303341,-0.371398125,16,65.26
435,2019-03-11,0.040101173,-0.188661,62,65.06
436,2019-03-12,0.020778795,-0.25332774199999997,62,65.33
437,2019-03-13,0.011992125,-0.281638636,44,65.89
438,2019-03-14,0.059629130999999995,-0.281896738,42,66.18
439,2019-03-15,0.056070571,-0.254463325,40,66.11
440,2019-03-16,0.083194084,-0.2652365,4,66.29
441,2019-03-17,0.108190461,-0.091789333,24,66.47
442,2019-03-18,0.043039119,-0.226872955,44,66.65
443,2019-03-19,0.003564484,-0.237708865,37,67.13
444,2019-03-20,0.01314936,-0.287317471,34,68.35
445,2019-03-21,0.009018033,-0.331328419,43,68.3
446,2019-03-22,-0.03489791,-0.40897946700000004,30,66.29
447,2019-03-23,-0.101984234,-0.666836,3,66.65
448,2019-03-24,-0.101254447,-0.494126333,9,67.01
449,2019-03-25,-0.036977787000000005,-0.383710321,28,67.37
450,2019-03-26,0.010738959,-0.341931018,55,67.51
451,2019-03-27,-0.006848831,-0.37418173,37,67.35
452,2019-03-28,-0.027278552,-0.293226182,33,66.08
453,2019-03-29,0.036223478999999996,-0.25819663600000003,33,67.93
454,2019-03-30,0.046769812,-0.5025215710000001,7,68.31333333333333
455,2019-03-31,0.085570168,0.006195263,19,68.69666666666667
456,2019-04-01,0.039446943,-0.09923361900000001,42,69.08
